001,0009149900,20190317,095907
001,0009120490,20190317,101611
001,0004271975,20190317,103559
001,0007444144,20190317,105036
001,0012242955,20190317,112236
001,0009133642,20190317,130653
001,0007437016,20190317,134500
001,0009149912,20190317,134504
001,0005346915,20190317,134508
001,0001519393,20190317,135654
001,0005343738,20190317,135658
001,0007889798,20190317,135703
001,0009131761,20190317,140636
001,0009149900,20190317,162831
001,0007442014,20190317,165529
001,0001533198,20190317,165531
001,0007450873,20190317,171308
001,0005363898,20190317,171336
001,0009016128,20190317,173446
001,0004251631,20190317,173939
001,0002028793,20190317,174430
001,0004265281,20190317,175109
001,0009026944,20190317,175257
001,0002034182,20190317,175359
001,0002038896,20190317,175422
001,0009015133,20190317,175640
001,0001518053,20190317,175645
001,0005377498,20190317,175704
001,0009134252,20190317,175732
001,0001510717,20190317,175806
001,0001525907,20190317,175931
001,0009145887,20190317,180027
001,0009138399,20190317,180207
001,0001523466,20190317,180224
001,0002028550,20190317,180232
001,0004262031,20190317,180238
001,0007244346,20190317,180240
001,0005357652,20190317,180241
001,0009142300,20190317,180244
001,0001525882,20190317,180246
001,0001533202,20190317,180248
001,0002039747,20190317,180250
001,0009137352,20190317,180253
001,0005406127,20190317,180255
001,0004248104,20190317,180256
001,0001584051,20190317,180258
001,0009137409,20190317,180304
001,0007438384,20190317,180307
001,0007247124,20190317,180309
001,0007270117,20190317,180311
001,0009124541,20190317,180316
001,0007450064,20190317,180319
001,0001510860,20190317,180330
001,0009131774,20190317,180332
001,0009128397,20190317,180334
001,0009137393,20190317,180337
001,0002039759,20190317,180340
001,0004248122,20190317,180341
001,0007242126,20190317,180345
001,0009128417,20190317,180347
001,0009128442,20190317,180349
001,0012249660,20190317,180351
001,0001584053,20190317,180353
001,0005383483,20190317,180355
001,0009123042,20190317,180357
001,0009128396,20190317,180359
001,0009120012,20190317,180401
001,0007916954,20190317,180403
001,0009142498,20190317,180405
001,0004266967,20190317,180407
001,0005368295,20190317,180408
001,0007438697,20190317,180417
001,0012239338,20190317,180451
001,0009014880,20190317,180454
001,0009124557,20190317,180506
001,0004248133,20190317,180511
001,0005394236,20190317,180513
001,0002038941,20190317,180525
001,0004776554,20190317,180528
001,0007917151,20190317,180536
001,0007445928,20190317,180540
001,0009122996,20190317,180544
001,0005349700,20190317,180555
001,0012255873,20190317,180603
001,0009137410,20190317,180605
001,0009131742,20190317,180624
001,0009134253,20190317,180726
001,0009120008,20190317,180756
001,0009147197,20190317,180757
001,0007453961,20190317,180802
001,0005392949,20190317,180807
001,0005402745,20190317,180809
001,0009150134,20190317,180845
001,0005415869,20190317,180912
001,0002039980,20190317,181018
001,0004788797,20190317,181029
001,0007263942,20190317,181036
001,0004772776,20190317,181041
001,0007442602,20190317,181046
001,0002029347,20190317,181155
001,0004786126,20190317,181202
001,0004264882,20190317,181203
001,0002029283,20190317,181442
001,0007461060,20190317,181642
001,0007244341,20190317,181646
001,0009041359,20190317,181649
001,0009117183,20190317,181732
001,0009137399,20190317,182056
001,0009137347,20190317,183605
001,0009036772,20190317,183610
001,0009142309,20190317,183612
001,0009137411,20190317,184303
001,0009024730,20190317,184308
001,0007446249,20190317,185541
001,0004763248,20190317,185547
001,0005400446,20190317,185553
001,0009019278,20190317,185601
001,0009147191,20190317,190117
001,0009120490,20190317,190855
001,0005397951,20190317,190949
001,0004765071,20190317,191049
001,0004264881,20190317,193353
001,0001509431,20190317,193654
001,0004270267,20190317,193834
001,0004248103,20190317,194031
001,0005367989,20190317,194158
001,0001523984,20190317,194332
001,0002039757,20190317,194458
001,0004771737,20190317,195113
001,0009018140,20190317,195121
001,0009131470,20190317,195254
001,0009131772,20190317,195318
001,0001513976,20190317,195335
001,0004771682,20190317,195343
001,0002039740,20190317,195533
001,0009139070,20190317,195720
001,0009138356,20190317,195815
001,0009137383,20190317,195832
001,0009131775,20190317,195836
001,0004264708,20190317,195842
001,0004271590,20190317,195854
001,0007306706,20190317,195959
001,0009131763,20190317,200003
